mid,year,month,day,hour,minute,day_of_year,day_of_week,day_since_hire,Size (MB),Rcpt Count,File Count,Lev_mail,Rcpt Count Personal Max,Rcpt Count Job Max,Rcpt Count Personal Percentile,Rcpt Count Job Percentile,File Count Personal Max,File Count Job Max,File Count Personal Percentile,File Count Job Percentile,Size (MB) Personal Max,Size (MB) Job Max,sub_sensitive_count,files_sensitive_count,files_sensitive_count Personal Max,files_sensitive_count Job Max,files_sensitive_count Personal Percentile,files_sensitive_count Job Percentile,sub_sensitive_count Personal Max,sub_sensitive_count Job Max,sub_sensitive_count Personal Percentile,sub_sensitive_count Job Percentile,Manager ACF2,Job Family,Division,Employment Type,Business Location,Business Group,Employee Status,Local Admin,Privileged User,Government Cleared,target
632,0,1.0,0.633333333,0.565217391,0.254237288,0.984848485,0.666666667,0.191446029,0.046666667,0.0,0.137931034,0,0.035714286,0.75,0.382022472,0.097222222,0.184210526,0.822222222,0.591836735,0.406976744,0.240341558,0.942985918,0.0,0.0,0.142857143,0.142857143,0.333333333,0.085365854,0.0,1,0.494382022,0.083333333,0.009852217,0.625,0.0,0.0,0.79245283,0.631578947,1.0,0.5,0.5,1,1
359,0,0.75,0.2,0.086956522,0.169491525,0.651515152,0.333333333,0.384419552,0.033333333,0.0,0.034482759,0,0.0,0.625,1.0,0.083333333,0.026315789,0.822222222,1.0,0.337209302,6.66e-08,0.997344228,0.0,0.0,0.0,0.142857143,1.0,0.268292683,0.0,1,1.0,0.05,0.990147783,0.3875,1.0,0.666666667,0.528301887,0.684210526,0.0,0.5,0.5,1,1
431,0,0.75,0.366666667,0.47826087,0.847457627,0.689393939,0.0,0.980142566,0.0,0.0,0.034482759,0,0.107142857,0.85,0.337078652,0.208333333,0.289473684,0.866666667,0.367346939,0.302325581,0.317998765,0.99651955,0.0,0.0,0.142857143,0.142857143,0.277777778,0.256097561,0.333333333,1,0.415730337,0.1,0.630541872,0.9,0.463414634,0.666666667,0.754716981,0.526315789,1.0,0.5,0.5,1,1
333,0,0.75,0.033333333,1.0,0.237288136,0.613636364,0.666666667,0.372708758,0.033333333,0.0,0.034482759,0,0.0,1.0,0.528089888,0.263888889,0.078947368,0.066666667,0.397959184,0.313953488,0.068381675,0.06709512,0.666666667,0.285714286,0.142857143,0.142857143,1.0,1.0,0.333333333,1,1.0,1.0,0.463054187,1.0,0.0,0.0,0.773584906,1.0,0.333333333,0.5,0.5,1,1
412,0,0.75,0.166666667,0.391304348,0.389830508,0.643939394,0.166666667,0.977087576,0.0,0.0,0.24137931,0,0.0,0.65,0.573033708,0.180555556,0.078947368,0.288888889,1.0,0.5,0.048406512,0.50121689,0.0,0.0,0.142857143,0.142857143,0.444444444,0.097560976,0.0,1,0.573033708,0.1,0.753694581,0.0125,0.87804878,0.666666667,0.754716981,0.578947368,1.0,0.5,0.5,1,0
662,0,1.0,0.5,0.652173913,0.677966102,0.954545455,0.0,0.99796334,0.0,0.0,0.034482759,0,0.321428571,0.675,0.078651685,0.069444444,0.710526316,1.0,0.306122449,0.325581395,0.128152042,0.940978355,0.0,0.0,0.142857143,0.142857143,0.388888889,0.231707317,0.333333333,1,0.426966292,0.083333333,0.935960591,0.5,0.487804878,0.666666667,1.0,0.947368421,0.333333333,0.5,0.5,1,1
446,0,0.75,0.466666667,0.130434783,0.0,0.712121212,0.5,0.390020367,0.006666667,0.0,0.0,0,0.0,1.0,0.573033708,0.263888889,0.026315789,0.022222222,0.234693878,0.058139535,0.571344734,0.560595265,0.0,0.0,0.142857143,0.142857143,0.166666667,0.170731707,0.0,0,0.573033708,0.066666667,0.458128079,1.0,0.0,0.0,0.773584906,1.0,0.0,0.5,0.5,1,1
16,0,0.0,0.6,0.47826087,0.237288136,0.053030303,0.0,0.0,0.246666667,0.0,0.310344828,0,0.0,1.0,1.0,0.263888889,0.236842105,0.2,1.0,0.639534884,4.93e-07,4.84e-07,0.0,0.0,0.0,0.0,1.0,0.170731707,0.0,0,1.0,0.066666667,0.97044335,1.0,0.0,0.0,0.20754717,0.210526316,0.0,0.0,0.0,0,0
498,0,0.75,0.8,0.130434783,0.898305085,0.787878788,1.0,0.50203666,0.173333333,0.0,0.0,0,0.035714286,1.0,0.393258427,0.263888889,0.394736842,0.333333333,0.163265306,0.058139535,0.686634271,0.673715706,0.333333333,0.0,0.142857143,0.142857143,0.255555556,0.170731707,0.333333333,1,0.943820225,0.9,0.467980296,1.0,0.0,0.0,0.773584906,1.0,0.333333333,0.5,0.5,1,0
254,0,0.5,0.9,0.695652174,0.118644068,0.583333333,0.0,0.488289206,0.0,0.0,0.0,0,0.071428571,0.575,0.404494382,0.0,0.578947368,0.911111111,0.214285714,0.104651163,0.467095362,0.939506357,0.0,0.0,0.142857143,0.142857143,0.322222222,0.231707317,0.333333333,1,0.348314607,0.083333333,0.773399015,0.975,0.390243902,0.666666667,0.754716981,0.526315789,0.0,0.5,0.5,1,1
